,Unnamed: 0,id,latitude,longitude,time,edge,speed,traj_future,angle,time1
51,2590,0,12690.880750947532,27464.15354191277,3060.0,385304642,0.944,385304084.0,-59.001629582361964,9-10
52,2639,0,12720.28345092563,27413.003960880145,3120.0,385304084,0.944,398904084.0,-60.10809352288822,9-10
53,2689,0,12761.896287102383,27374.687991834428,3180.0,398904084,0.944,398904084.0,-42.63802856940836,9-10
54,2739,0,12814.390764131118,27347.756042750123,3240.0,398904084,0.944,398904085.0,-27.159795692293986,9-10
55,2789,0,12866.783161859848,27320.627793073865,3300.0,398904085,0.944,398904085.0,-27.37466062049694,9-10
56,2839,0,12918.97802875633,27293.11968754734,3360.0,398904085,0.944,408504086.0,-27.790442479453347,9-10
57,2889,0,12976.4442916547,27301.435867601213,3420.0,408504086,0.944,408504086.0,8.234344532280158,9-10
58,2939,0,13034.350665176404,27312.7430292948,3480.0,408504086,0.944,408604423.0,11.048905671656044,9-10
59,2988,0,13092.234716619358,27323.8838271278,3540.0,408604423,0.944,408604423.0,10.894355754824117,9-10
60,3037,0,13145.112311831295,27297.7120880835,3600.0,408604423,0.944,442304427.0,-26.33308572578722,5-6
61,3086,0,13193.164130644083,27279.679201392617,3660.0,442304427,0.624,442304427.0,-20.570108993783666,5-6
62,3136,0,13209.535453392142,27315.076655983008,3720.0,442304427,0.624,442304427.0,65.17945866450752,5-6
63,3186,0,13225.906776140198,27350.474110573403,3780.0,442304427,0.624,442304427.0,65.1794586645122,5-6
64,3236,0,13242.278098888257,27385.8715651638,3840.0,442304427,0.624,442304427.0,65.17945866451201,5-6
65,3286,0,13258.649421636312,27421.26901975419,3900.0,442304427,0.624,442304427.0,65.17945866451014,5-6
66,3336,0,13248.628677251943,27399.602545409605,4020.0,442304427,0.624,442304427.0,-114.8205413354856,5-6
67,3386,0,13232.257354503889,27364.20509081921,4080.0,442304427,0.624,442304427.0,-114.82054133548537,5-6
68,3436,0,13215.88603175583,27328.80763622882,4140.0,442304427,0.624,442304427.0,-114.82054133549248,5-6
69,3517,0,13199.514709007772,27293.41018163843,4200.0,442304427,0.624,408604423.0,-114.82054133549248,5-6
70,3567,0,13165.623990529744,27287.559843071136,4260.0,408604423,0.944,408604423.0,-170.20591814678104,5-6
71,3616,0,13112.746395317808,27313.73158211543,4320.0,408604423,0.944,408504086.0,153.66691427421833,5-6
72,3666,0,13056.81305068219,27317.129175577,4380.0,408504086,0.944,408504086.0,176.5239184554008,5-6
73,3715,0,12998.906677160488,27305.822013883408,4440.0,408504086,0.944,408504086.0,-168.95109432834016,5-6
